,HourlyDryBulbTemperature,HourlyVisibility,HourlyWindSpeed,HourlyWindDirection,HourlyPrecipitation
2023-07-12 09:58:00,0.48,0.9971105449574349,0.3031674208144796,0.3103103103103103,0.0
2023-07-12 10:00:00,0.48,0.9942210899148698,0.3031674208144796,0.3103103103103103,0.0
2023-07-12 10:28:00,0.48,0.9971105449574349,0.32579185520361986,0.3103103103103103,0.0
2023-07-12 10:56:00,0.48,1.0,0.34841628959276016,0.3103103103103103,0.0
2023-07-12 11:26:00,0.49833333333333335,1.0,0.3846153846153846,0.3053053053053053,0.0
2023-07-12 11:56:00,0.5166666666666667,1.0,0.42081447963800905,0.3003003003003003,0.0
2023-07-12 12:26:00,0.5166666666666667,1.0,0.4660633484162896,0.3003003003003003,0.0
2023-07-12 12:56:00,0.5166666666666667,1.0,0.5113122171945701,0.3003003003003003,0.0
2023-07-12 13:26:00,0.5083333333333334,1.0,0.5,0.3003003003003003,0.0
2023-07-12 13:56:00,0.5000000000000001,1.0,0.48868778280542985,0.3003003003003003,0.0
2023-07-12 14:26:00,0.5083333333333334,1.0,0.45475113122171945,0.3003003003003003,0.0
2023-07-12 14:56:00,0.5166666666666667,1.0,0.42081447963800905,0.3003003003003003,0.0
2023-07-12 15:26:00,0.49833333333333335,1.0,0.42081447963800905,0.3003003003003003,0.0
2023-07-12 15:56:00,0.48,1.0,0.42081447963800905,0.3003003003003003,0.0
2023-07-12 15:58:00,0.48,0.9971105449574349,0.42081447963800905,0.3003003003003003,0.0
2023-07-12 16:00:00,0.48,0.9942210899148698,0.42081447963800905,0.3003003003003003,0.0
2023-07-12 16:28:00,0.46166666666666667,0.9971105449574349,0.3846153846153846,0.3053053053053053,0.0
2023-07-12 16:56:00,0.4433333333333334,1.0,0.34841628959276016,0.3103103103103103,0.0
2023-07-12 17:26:00,0.4433333333333334,1.0,0.35972850678733026,0.3053053053053053,0.0
2023-07-12 17:56:00,0.4433333333333334,1.0,0.3710407239819004,0.3003003003003003,0.0
2023-07-12 18:26:00,0.42500000000000004,1.0,0.34841628959276016,0.3003003003003003,0.0
2023-07-12 18:56:00,0.4066666666666667,1.0,0.3257918552036199,0.3003003003003003,0.0
2023-07-12 19:26:00,0.3966666666666667,1.0,0.30316742081447967,0.3053053053053053,0.0
2023-07-12 19:56:00,0.38666666666666677,1.0,0.28054298642533937,0.3103103103103103,0.0
2023-07-12 20:26:00,0.38666666666666677,1.0,0.28054298642533937,0.3153153153153153,0.0
2023-07-12 20:56:00,0.38666666666666677,1.0,0.28054298642533937,0.3203203203203203,0.0
2023-07-12 21:26:00,0.38666666666666677,1.0,0.2692307692307692,0.3103103103103103,0.0
2023-07-12 21:56:00,0.38666666666666677,1.0,0.25791855203619907,0.3003003003003003,0.0
2023-07-12 21:58:00,0.38666666666666677,0.9971105449574349,0.25791855203619907,0.3003003003003003,0.0
2023-07-12 22:00:00,0.38666666666666677,0.9942210899148698,0.25791855203619907,0.3003003003003003,0.0
2023-07-12 22:28:00,0.38666666666666677,0.9971105449574349,0.2443438914027149,0.3053053053053053,0.0
2023-07-12 22:56:00,0.38666666666666677,1.0,0.23076923076923073,0.3103103103103103,0.0
2023-07-12 23:26:00,0.3783333333333334,1.0,0.2443438914027149,0.3053053053053053,0.0
2023-07-12 23:56:00,0.3700000000000001,1.0,0.25791855203619907,0.3003003003003003,0.0
2023-07-12 23:58:00,0.3700000000000001,1.0,0.25791855203619907,0.3003003003003003,0.0
2023-07-13 00:00:00,0.3700000000000001,1.0,0.25791855203619907,0.3003003003003003,0.0
2023-07-13 00:28:00,0.3700000000000001,1.0,0.25791855203619907,0.3053053053053053,0.0
2023-07-13 00:56:00,0.3700000000000001,1.0,0.25791855203619907,0.3103103103103103,0.0
2023-07-13 01:26:00,0.3600000000000001,1.0,0.2443438914027149,0.3103103103103103,0.0
2023-07-13 01:56:00,0.35000000000000003,1.0,0.23076923076923073,0.3103103103103103,0.0
2023-07-13 02:26:00,0.3416666666666667,1.0,0.2443438914027149,0.3053053053053053,0.0
2023-07-13 02:56:00,0.33333333333333337,1.0,0.25791855203619907,0.3003003003003003,0.0
2023-07-13 03:26:00,0.32333333333333336,1.0,0.23303167420814477,0.3003003003003003,0.0
2023-07-13 03:56:00,0.3133333333333333,1.0,0.20814479638009048,0.3003003003003003,0.0
2023-07-13 04:26:00,0.3133333333333333,1.0,0.19683257918552033,0.2952952952952953,0.0
2023-07-13 04:56:00,0.3133333333333333,1.0,0.1855203619909502,0.2902902902902903,0.0
2023-07-13 05:26:00,0.32333333333333336,1.0,0.19683257918552033,0.2952952952952953,0.0
2023-07-13 05:56:00,0.33333333333333337,1.0,0.20814479638009048,0.3003003003003003,0.0
2023-07-13 05:57:00,0.33333333333333337,1.0,0.19683257918552033,0.3003003003003003,0.0
2023-07-13 05:58:00,0.33333333333333337,1.0,0.1855203619909502,0.3003003003003003,0.0
2023-07-13 06:27:00,0.35166666666666674,1.0,0.17420814479638008,0.3003003003003003,0.0
2023-07-13 06:56:00,0.3700000000000001,1.0,0.16289592760180996,0.3003003003003003,0.0
2023-07-13 07:22:30,0.39833333333333343,1.0,0.17420814479638008,0.3103103103103103,0.0
2023-07-13 07:49:00,0.42666666666666675,1.0,0.1855203619909502,0.3203203203203203,0.0
2023-07-13 07:52:30,0.42666666666666675,1.0,0.17420814479638008,0.3203203203203203,0.0
2023-07-13 07:56:00,0.42666666666666675,1.0,0.16289592760180996,0.3203203203203203,0.0
2023-07-13 08:26:00,0.45333333333333337,1.0,0.2104072398190045,0.3203203203203203,0.0
2023-07-13 08:56:00,0.48,1.0,0.25791855203619907,0.3203203203203203,0.0
2023-07-13 09:26:00,0.48,1.0,0.29185520361990946,0.3103103103103103,0.0
2023-07-13 09:56:00,0.48,1.0,0.3257918552036199,0.3003003003003003,0.0
2023-07-13 09:58:00,0.48,0.9971105449574349,0.3257918552036199,0.3003003003003003,0.0
2023-07-13 10:00:00,0.48,0.9942210899148698,0.3257918552036199,0.3003003003003003,0.0
2023-07-13 10:28:00,0.5083333333333333,0.9971105449574349,0.34841628959276016,0.3053053053053053,0.0
2023-07-13 10:56:00,0.5366666666666666,1.0,0.3710407239819004,0.3103103103103103,0.0
2023-07-13 11:26:00,0.5549999999999999,1.0,0.34841628959276016,0.3103103103103103,0.0
2023-07-13 11:56:00,0.5733333333333334,1.0,0.3257918552036199,0.3103103103103103,0.0
2023-07-13 12:26:00,0.5916666666666668,1.0,0.33710407239819007,0.3103103103103103,0.0
2023-07-13 12:56:00,0.6100000000000001,1.0,0.34841628959276016,0.3103103103103103,0.0
2023-07-13 13:26:00,0.6283333333333334,1.0,0.32579185520361986,0.3103103103103103,0.0
