,system:time_start,NDVI,fitted,NDVI_normalized
2024-05-29 07:00:00,,0.6869129720193603,0.6974177911245425,0.9349832660950192
2024-05-29 07:30:00,,0.6868645928552639,0.6974325152179631,0.9350948122572967
2024-05-29 08:00:00,,0.6868173317575688,0.6974468990303051,0.9352037805326149
2024-05-29 08:30:00,,0.6867711681823124,0.6974609488140788,0.9353102182884762
2024-05-29 09:00:00,,0.6867260816937057,0.6974746707888722,0.9354141726429711
2024-05-29 09:30:00,,0.6866820519791716,0.6974880711367738,0.9355156904301049
2024-05-29 10:00:00,,0.6866390588634391,0.6975011559980837,0.9356148181673011
2024-05-29 10:30:00,,0.6865970823217205,0.6975139314673025,0.9357116020250188
2024-05-29 11:00:00,,0.6865561024920002,0.6975264035893912,0.9358060877984186
2024-05-29 11:30:00,,0.6865160996864653,0.6975385783562931,0.9358983208810088
2024-05-29 12:00:00,,0.6864770544021042,0.6975504617037074,0.9359883462402079
2024-05-29 12:30:00,,0.6864389473305038,0.6975620595081076,0.9360762083947543
2024-05-29 13:00:00,,0.6864017593668762,0.6975733775839942,0.9361619513938956
2024-05-29 13:30:00,,0.6863654716183406,0.6975844216813746,0.9362456187982924
2024-05-29 14:00:00,,0.6863300654114924,0.6975951974834588,0.9363272536625669
2024-05-29 14:30:00,,0.6862955222992866,0.6976057106045649,0.9364068985194315
2024-05-29 15:00:00,,0.6862618240672644,0.6976159665882238,0.9364845953653322
2024-05-29 15:30:00,,0.6862289527391524,0.6976259709054753,0.9365603856475405
2024-05-29 16:00:00,,0.6861968905818595,0.697635728953347,0.9366343102526297
2024-05-29 16:30:00,,0.6861656201099015,0.6976452460535082,0.9367064094962746
2024-05-29 17:00:00,,0.6861351240892783,0.6976545274510891,0.9367767231143121
2024-05-29 17:30:00,,0.6861053855408314,0.69766357831366,0.9368452902550001
2024-05-29 18:00:00,,0.686076387743105,0.6976724037303593,0.9369121494724193
2024-05-29 18:30:00,,0.6860481142347387,0.6976810087111665,0.9369773387209583
2024-05-29 19:00:00,,0.6860205488164135,0.6976893981863089,0.9370408953508252
2024-05-29 19:30:00,,0.6859936755523767,0.6976975770057984,0.9371028561045334
2024-05-29 20:00:00,,0.6859674787715666,0.6977055499390884,0.9371632571143063
2024-05-29 20:30:00,,0.6859419430683621,0.6977133216748462,0.9372221339003509
2024-05-29 21:00:00,,0.6859170533029758,0.6977208968208334,0.9372795213699505
2024-05-29 21:30:00,,0.6858927946015135,0.6977282799038872,0.9373354538173273
2024-05-29 22:00:00,,0.6858691523557199,0.6977354753699982,0.9373899649242297
2024-05-29 22:30:00,,0.6858461122224286,0.6977424875844782,0.9374430877611988
2024-05-29 23:00:00,,0.6858236601227379,0.6977493208322102,0.9374948547894713
2024-05-29 23:30:00,,0.6858017822409267,0.6977559793179788,0.937545297863476
2024-05-30 00:00:00,,0.6857804650231314,0.6977624671668731,0.9375944482338868
2024-05-30 00:30:00,,0.6857596951757982,0.6977687884247571,0.9376423365511901
2024-05-30 01:00:00,,0.6857394596639272,0.6977749470588047,0.9376889928697331
2024-05-30 01:30:00,,0.6857197457091249,0.6977809469580923,0.9377344466522154
2024-05-30 02:00:00,,0.6857005407874767,0.6977867919342462,0.9377787267745926
2024-05-30 02:30:00,,0.685681832627257,0.6977924857221391,0.9378218615313575
2024-05-30 03:00:00,,0.6856636092064875,0.6977980319806342,0.9378638786411686
2024-05-30 03:30:00,,0.6856458587503578,0.6978034342933693,0.9379048052527983
2024-05-30 04:00:00,,0.6856285697285198,0.6978086961695809,0.9379446679513707
2024-05-30 04:30:00,,0.685611730852268,0.6978138210449619,0.9379834927648631
2024-05-30 05:00:00,,0.6855953310716152,0.6978188122825518,0.9380213051708477
2024-05-30 05:30:00,,0.6855793595722769,0.6978236731736548,0.938058130103446
2024-05-30 06:00:00,,0.6855638057725707,0.6978284069387828,0.9380939919604762
2024-05-30 06:30:00,,0.6855486593202428,0.6978330167286217,0.9381289146107709
